[Profiles 1] 

1 1 	 1.466318 	 0.873838 	 1.508945
1 2 	 1.466318 	 0.873838 	 1.508945
1 3 	 1.466318 	 0.873838 	 1.508945
1 4 	 1.466318 	 0.873838 	 1.508945
1 5 	 1.466318 	 0.873838 	 1.508945
1 6 	 1.466318 	 0.873838 	 1.508945
1 7 	 1.466318 	 0.873838 	 1.508945
1 8 	 1.466318 	 0.873838 	 1.508945
1 9 	 1.466318 	 0.873838 	 1.508945
1 10 	 1.466318 	 0.873838 	 1.508945
1 11 	 1.466318 	 0.873838 	 1.508945
1 12 	 1.466318 	 0.873838 	 1.508945
1 13 	 1.466318 	 0.873838 	 1.508945
1 14 	 1.466318 	 0.873838 	 1.508945
1 15 	 1.466318 	 0.873838 	 1.508945
1 16 	 1.466318 	 0.873838 	 1.508945
1 17 	 1.466318 	 0.873838 	 1.508945
1 18 	 1.466318 	 0.873838 	 1.508945
1 19 	 1.466318 	 0.873838 	 1.508945
1 20 	 1.466318 	 0.873838 	 1.508945
1 21 	 1.466318 	 0.873838 	 1.508945
1 22 	 1.466318 	 0.873838 	 1.508945
1 23 	 1.466318 	 0.873838 	 1.508945
1 24 	 1.466318 	 0.873838 	 1.508945
1 25 	 1.466318 	 0.873838 	 1.508945
1 26 	 1.466318 	 0.873838 	 1.508945
1 27 	 1.466318 	 0.873838 	 1.508945
1 28 	 1.466318 	 0.873838 	 1.508945
1 29 	 1.466318 	 0.873838 	 1.508945
1 30 	 1.466318 	 0.873838 	 1.508945
1 31 	 1.466318 	 0.873838 	 1.508945
1 32 	 1.466318 	 0.873838 	 1.508945
1 33 	 1.466318 	 0.873838 	 1.508945
1 34 	 1.466318 	 0.873838 	 1.508945
1 35 	 1.466318 	 0.873838 	 1.508945
1 36 	 1.466318 	 0.873838 	 1.508945
1 37 	 1.466318 	 0.873838 	 1.508945
1 38 	 1.466318 	 0.873838 	 1.508945
1 39 	 1.466318 	 0.873838 	 1.508945
1 40 	 1.455287 	 0.872726 	 1.500041
1 41 	 1.451956 	 0.872116 	 1.508760
1 42 	 1.446539 	 0.872770 	 1.509151
1 43 	 1.433650 	 0.871023 	 1.516355
1 44 	 1.429053 	 0.871331 	 1.519974
1 45 	 1.423747 	 0.871881 	 1.517963
1 46 	 1.423117 	 0.872417 	 1.521625
1 47 	 1.405802 	 0.872353 	 1.527174
1 48 	 1.404077 	 0.872739 	 1.531045
1 49 	 1.393826 	 0.872790 	 1.534543
1 50 	 1.380986 	 0.872356 	 1.548361
1 51 	 1.373853 	 0.873511 	 1.562550
1 52 	 1.370751 	 0.873844 	 1.570593
1 53 	 1.370751 	 0.873844 	 1.570593
1 54 	 1.370751 	 0.873844 	 1.570593
1 55 	 1.370751 	 0.873844 	 1.570593
1 56 	 1.370751 	 0.873844 	 1.570593
1 57 	 1.370751 	 0.873844 	 1.570593
1 58 	 1.370751 	 0.873844 	 1.570593
1 59 	 1.370751 	 0.873844 	 1.570593
1 60 	 1.370751 	 0.873844 	 1.570593
1 61 	 1.370751 	 0.873844 	 1.570593
1 62 	 1.370751 	 0.873844 	 1.570593
1 63 	 1.370751 	 0.873844 	 1.570593
1 64 	 1.370751 	 0.873844 	 1.570593
1 65 	 1.370751 	 0.873844 	 1.570593
1 66 	 1.370751 	 0.873844 	 1.570593
1 67 	 1.370751 	 0.873844 	 1.570593
1 68 	 1.370751 	 0.873844 	 1.570593
1 69 	 1.370751 	 0.873844 	 1.570593
1 70 	 1.370751 	 0.873844 	 1.570593
1 71 	 1.370751 	 0.873844 	 1.570593
1 72 	 1.370751 	 0.873844 	 1.570593
1 73 	 1.370751 	 0.873844 	 1.570593
1 74 	 1.370751 	 0.873844 	 1.570593
1 75 	 1.370751 	 0.873844 	 1.570593
1 76 	 1.370751 	 0.873844 	 1.570593
1 77 	 1.370751 	 0.873844 	 1.570593
1 78 	 1.370751 	 0.873844 	 1.570593
1 79 	 1.370751 	 0.873844 	 1.570593
1 80 	 1.370751 	 0.873844 	 1.570593
1 81 	 1.370751 	 0.873844 	 1.570593
1 82 	 1.370751 	 0.873844 	 1.570593
1 83 	 1.370751 	 0.873844 	 1.570593
1 84 	 1.370751 	 0.873844 	 1.570593
1 85 	 1.370751 	 0.873844 	 1.570593
1 86 	 1.370751 	 0.873844 	 1.570593
1 87 	 1.370751 	 0.873844 	 1.570593
1 88 	 1.370751 	 0.873844 	 1.570593
1 89 	 1.370751 	 0.873844 	 1.570593
1 90 	 1.370751 	 0.873844 	 1.570593
